text,true_emotion,pred_0shot,pred_1shot,pred_5shot,correct_0shot,correct_1shot,correct_5shot,case_type
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger,anger,anger,True,True,True,other
Literally fuming fuck sake,anger,anger,anger,anger,True,True,True,other
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger,anger,anger,True,True,True,other
@TrussElise Obama must be fuming.. lol,anger,joy,joy,joy,False,False,False,always_wrong
Might just leave and aggravate bae,anger,sadness,sadness,anger,False,False,True,improved
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy,joy,joy,False,False,False,always_wrong
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger,anger,anger,True,True,True,other
#oow16 #sting decent new song,anger,joy,joy,joy,False,False,False,always_wrong
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy,anger,anger,False,True,True,improved
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy,joy,sadness,False,False,False,always_wrong
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy,joy,joy,False,False,False,always_wrong
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger,anger,anger,True,True,True,other
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger,anger,anger,True,True,True,other
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger,anger,anger,True,True,True,other
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger,anger,anger,True,True,True,other
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger,anger,anger,True,True,True,other
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy,anger,anger,False,True,True,improved
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy,joy,joy,False,False,False,always_wrong
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger,anger,anger,True,True,True,other
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger,anger,anger,True,True,True,other
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear,joy,joy,fear,False,False,True,improved
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger,anger,anger,False,False,False,always_wrong
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness,sadness,sadness,False,False,False,always_wrong
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy,joy,joy,False,False,False,always_wrong
"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",fear,joy,joy,joy,False,False,False,always_wrong
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger,anger,anger,False,False,False,always_wrong
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger,anger,anger,False,False,False,always_wrong
@RyanAbe awe yay thank god I was so worried.,fear,joy,joy,joy,False,False,False,always_wrong
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger,anger,anger,False,False,False,always_wrong
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy,joy,joy,False,False,False,always_wrong
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy,joy,joy,False,False,False,always_wrong
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear,fear,fear,True,True,True,other
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,anger,fear,fear,False,True,True,improved
Trying to book holiday flights on @britishairways website is becoming a ,fear,anger,sadness,fear,False,False,True,improved
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness,sadness,sadness,False,False,False,always_wrong
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear,fear,fear,True,True,True,other
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear,fear,fear,True,True,True,other
Southend players always haunt Man U,fear,anger,anger,anger,False,False,False,always_wrong
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,fear,fear,fear,fear,True,True,True,other
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,fear,anger,anger,anger,False,False,False,always_wrong
@harrietemmett great minds think alike. #rejoice,joy,joy,joy,joy,True,True,True,other
A lifetime of laughter at the expense of the death of a bachelor,joy,joy,joy,joy,True,True,True,other
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy,joy,joy,True,True,True,other
@MichiganBromo Good optimism sir :),joy,joy,joy,joy,True,True,True,other
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy,joy,joy,True,True,True,other
A hearty Jonza! to all my friends and follower.,joy,joy,joy,joy,True,True,True,other
@MacDsmash you should get some @SSB_Swedish delight,joy,joy,joy,joy,True,True,True,other
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy,joy,joy,True,True,True,other
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy,joy,joy,True,True,True,other
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy,joy,joy,True,True,True,other
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy,joy,joy,True,True,True,other
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy,joy,joy,True,True,True,other
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,joy,joy,joy,joy,True,True,True,other
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger,anger,anger,False,False,False,always_wrong
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy,joy,joy,True,True,True,other
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger,fear,fear,False,False,False,always_wrong
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy,joy,joy,True,True,True,other
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy,joy,joy,True,True,True,other
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy,joy,joy,True,True,True,other
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy,joy,joy,True,True,True,other
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness,sadness,sadness,True,True,True,other
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness,sadness,sadness,True,True,True,other
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy,joy,joy,False,False,False,always_wrong
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy,joy,sadness,False,False,True,improved
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,anger,joy,joy,False,False,False,always_wrong
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger,sadness,anger,False,True,False,other
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy,sadness,sadness,False,True,True,improved
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness,sadness,sadness,True,True,True,other
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness,sadness,sadness,True,True,True,other
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness,sadness,sadness,True,True,True,other
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger,joy,sadness,False,False,True,improved
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy,sadness,sadness,False,True,True,improved
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness,sadness,sadness,True,True,True,other
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger,anger,sadness,False,False,True,improved
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger,anger,sadness,False,False,True,improved
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy,joy,joy,False,False,False,always_wrong
